Url,Status,Name,Organisation,Address,City,State,zip Code,Country,E-mails,Domain,Alexa Rank

https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.com,['MICROSOFT.COM', 'microsoft.com'],34
https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.com,['MICROSOFT.COM', 'microsoft.com'],34
https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.com,['MICROSOFT.COM', 'microsoft.com'],-1
https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.com,['MICROSOFT.COM', 'microsoft.com'],34
https://xiaomifirmware.com/guides-and-tips/guide-fix-redmi-note-4-bootloop/,Malicious,WhoisGuard Protected,WhoisGuard, Inc.,P.O. Box 0823-03411,Panama,Panama,0,PA,abuse@namecheap.com,['XIAOMIFIRMWARE.COM', 'xiaomifirmware.com'],122171
https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.com,['MICROSOFT.COM', 'microsoft.com'],34
https://www.fiesto.live/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,3144097
https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.com,['MICROSOFT.COM', 'microsoft.com'],34
https://xiaomifirmware.com/guides-and-tips/guide-fix-redmi-note-4-bootloop/,Malicious,WhoisGuard Protected,WhoisGuard, Inc.,P.O. Box 0823-03411,Panama,Panama,0,PA,abuse@namecheap.com,['XIAOMIFIRMWARE.COM', 'xiaomifirmware.com'],122171
https://www.fiesto.live,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,3144097
https://www.fiesto.live,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,3144097
https://www.microsoft.com,Legitimate,Domain Administrator,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,['abusecomplaints@markmonitor.com', 'domains@microsoft.com', 'msnhst@microsoft.com', 'whoisrequest@markmonitor.com'],['MICROSOFT.COM', 'microsoft.com'],34
https://www.amazon.in/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in/,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://xiaomifirmware.com/guides-and-tips/guide-fix-redmi-note-4-bootloop,Malicious,WhoisGuard Protected,WhoisGuard, Inc.,P.O. Box 0823-03411,Panama,Panama,0,PA,abuse@namecheap.com,['XIAOMIFIRMWARE.COM', 'xiaomifirmware.com'],122171
https://www.fiesto.live,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,3144097
https://www.amazon.in,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in,Malicious,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,-1
https://www.amazon.in,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,50
https://www.amazon.in,Legitimate,amazon.in,None,None,None,NV,None,US,None,amazon.in,50
https://www.microsoft.com,Legitimate,['MICROSOFT.COM', 'microsoft.com'],None,One Microsoft Way,,Redmond,WA,98052,US,['abusecomplaints@markmonitor.com', 'domains@microsoft.com', 'msnhst@microsoft.com', 'whoisrequest@markmonitor.com'],['MICROSOFT.COM', 'microsoft.com'],34
https://xiaomifirmware.com/guides-and-tips/guide-fix-redmi-note-4-bootloop,Malicious,['XIAOMIFIRMWARE.COM', 'xiaomifirmware.com'],None,P.O. Box 0823-03411,Panama,Panama,0,PA,['abuse@namecheap.com', '23c0ba76f7f3423f960411e7ce74c413.protect@whoisguard.com'],['XIAOMIFIRMWARE.COM', 'xiaomifirmware.com'],122171
https://www.amazon.in,Legitimate,amazon.in,None,None,None,NV,None,US,None,amazon.in,-1
https://www.fiesto.live,Legitimate,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not found in database,Not Found,3144097
